格式为:mc电视名|dz直播地址
@mc=宁夏卫视|@dz=http://183.207.249.10/PLTV/3/224/3221225628/index.m3u8|
@mc=青海卫视|@dz=http://183.207.249.6/PLTV/3/224/3221225580/index.m3u8|
@mc=厦门卫视|@dz=http://vod.cache.cmvideo.cn:8088/envivo_v/SD/xiamen/450/01.m3u8?msisdn=0425767575648&mdspid=&spid=699004&netType=1&sid=2200196796&pid=2028597139&timestamp=20170717164312&SecurityKey=20170717164312&resourceId=&resourceType=&Channel_ID=1004_10010001005&ProgramID=608935834&ParentNodeID=-99&assertID=2200196796&mtv_session=5541a0b9508754c3a365f654d837c7a1&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=732d6d5f103c40e12e1b8470a1b0f797|
@mc=山东卫视|@dz=http://183.252.176.46//PLTV/88888888/224/3221225943/index.m3u8|
@mc=山西卫视|@dz=http://azure3a-live.bestvcdn.com.cn/live/program/Dbst.mobile.live.bestvcdn.com.cnD/_nbvmxwwf_keyE198F63AB3AE34AB1098776A98D2F421D50A36E8D21B463C00CA2F942A257F56_/live/shanxiws/1300000/d1.m3u8|
@mc=陕西卫视|@dz=http://183.207.249.10/PLTV/3/224/3221225626/index.m3u8|
@mc=深圳卫视|@dz=http://183.251.61.226/PLTV/88888888/224/3221225848/index.m3u8|
@mc=四川卫视|@dz=http://220.167.81.62/PLTV/88888896/224/3221227981/10000100000000060000000003732199_0.smil/01.m3u8?fmt=ts2hls2490401.m3u80781300&|
@mc=天津卫视|@dz=http://218.207.213.143//PLTV/88888888/224/3221225941/index.m3u8|
@mc=西藏卫视|@dz=http://183.207.249.16/PLTV/3/224/3221225579/index.m3u8|
@mc=云南卫视|@dz=http://183.207.249.10/PLTV/3/224/3221225591/index.m3u8|
@mc=浙江卫视|@dz=http://183.252.176.25//PLTV/88888888/224/3221225934/index.m3u8|
@mc=港電影|@dzhttp://rotation.vod.zlive.cc/channel/1259.m3u8|
@mc=港電影|@dzhttp://rotation.vod.zlive.cc/channel/1260.m3u8|
@mc=香港電影|@dzhttp://rotation.vod.zlive.cc/channel/1086.m3u8|
@mc=東至影視|@dzrtmp://223.247.33.124:1935/live/yingshi|
@mc=經典電影|@dzhttp://rotation.vod.zlive.cc/channel/1200.m3u8|
@mc=最新電影|@dzhttp://rotation.vod.zlive.cc/channel/1201.m3u8|
@mc=經典電影|@dzhttp://rotation.vod.zlive.cc/channel/1258.m3u8|
@mc=經典電影城|@dzhttp://dlhls.cdn.zhanqi.tv/zqlive/7032_0s2qn.m3u8|
@mc=經典電影场|@dzhttp://dlhls.cdn.zhanqi.tv/zqlive/123407_XhQs9.m3u8|
@mc=刘德华電影|@dzhttp://ws4.streamhls.huya.com/huyalive/94525224-2467341872-10597152648291418112-2789274550-10057-A-1512526192-1_1200/playlist.m3u8|
@mc=VIP電影1|@dzhttp://chyd-wsvod.wasu.tv/data13/ott/344/2015-06/10/1433923712941_962055/playlist.m3u8|
@mc=VIP電影2|@dzhttp://chyd-wsvod.wasu.tv/data9/ott/344/2013-06/07/1370600803122_737204/playlist.m3u8|
@mc=VIP電影3|@dzhttp://chyd-wsvod.wasu.tv/data13/ott/344/2015-05/28/1432782476341_377935/playlist.m3u8|
@mc=VIP電影4|@dzhttp://chyd-wsvod.wasu.tv/data12/ott/344/2015-03/05/1425521511475_343177/playlist.m3u8|
@mc=電影影視02|@dzhttp://rotation.vod.zlive.cc/channel/1982.m3u8|
@mc=港電影02|@dzhttp://rotation.vod.zlive.cc/channel/1259.m3u8|
@mc=港電影03|@dzhttp://rotation.vod.zlive.cc/channel/1260.m3u8|
@mc=华语音乐|@dzhttp://rotation.vod.zlive.cc/channel/1176.m3u8|
@mc=經典金曲|@dzhttp://rotation.vod.zlive.cc/channel/1843.m3u8|
@mc=音樂MV01|@dzhttp://rotation.vod.zlive.cc/channel/1226.m3u8|
@mc=鳳凰传奇|@dzhttp://rotation.vod.zlive.cc/channel/1616.m3u8|
@mc=音樂MV03|@dzhttp://rotation.vod.zlive.cc/channel/1654.m3u8|
@mc=超清MV|@dz http://42.202.153.91/yfhdl.cdn.zhanqi.tv/zqlive/19969_TnDT2.m3u8|
@mc=超清MV |@dzhttp://36.104.137.111/yfhdl.cdn.zhanqi.tv/zqlive/19969_TnDT2.m3u8|
@mc=港電影|@dzhttp://rotation.vod.zlive.cc/channel/1259.|
@mc=港電影|@dzhttp://rotation.vod.zlive.cc/channel/1260.|
@mc=香港電影|@dzhttp://rotation.vod.zlive.cc/channel/1086.|
@mc=東至影視|@dzrtmp://223.247.33.124:1935/live/yingshi|
@mc=經典電影|@dzhttp://rotation.vod.zlive.cc/channel/1200.|
@mc=最新電影|@dzhttp://rotation.vod.zlive.cc/channel/1201.|
@mc=經典電影|@dzhttp://rotation.vod.zlive.cc/channel/1258.|
@mc=經典電影城|@dzhttp://dlhls.cdn.zhanqi.tv/zqlive/7032_0s2qn.|
@mc=經典電影场|@dzhttp://dlhls.cdn.zhanqi.tv/zqlive/123407_XhQs9.|
@mc=刘德华電影|@dzhttp://ws4.streamhls.huya.com/huyalive/94525224-2467341872-10597152648291418112-2789274550-10057-A-1512526192-1_1200/playlist.|
@mc=VIP電影1|@dzhttp://chyd-wsvod.wasu.tv/data13/ott/344/2015-06/10/1433923712941_962055/playlist.|
@mc=VIP電影2|@dzhttp://chyd-wsvod.wasu.tv/data9/ott/344/2013-06/07/1370600803122_737204/playlist.|
@mc=VIP電影3|@dzhttp://chyd-wsvod.wasu.tv/data13/ott/344/2015-05/28/1432782476341_377935/playlist.|
@mc=VIP電影4|@dzhttp://chyd-wsvod.wasu.tv/data12/ott/344/2015-03/05/1425521511475_343177/playlist.|
@mc=電影影視02|@dzhttp://rotation.vod.zlive.cc/channel/1982.|
@mc=港電影02|@dzhttp://rotation.vod.zlive.cc/channel/1259.|
@mc=港電影03|@dzhttp://rotation.vod.zlive.cc/channel/1260.|
@mc=华语音乐|@dzhttp://rotation.vod.zlive.cc/channel/1176.|
@mc=經典金曲|@dzhttp://rotation.vod.zlive.cc/channel/1843.|
@mc=音樂MV01|@dzhttp://rotation.vod.zlive.cc/channel/1226.|
@mc=鳳凰传奇|@dzhttp://rotation.vod.zlive.cc/channel/1616.|
@mc=音樂MV03|@dzhttp://rotation.vod.zlive.cc/channel/1654.|
@mc=超清MV|@dz http://42.202.153.91/yfhdl.cdn.zhanqi.tv/zqlive/19969_TnDT2.|
@mc=超清MV |@dzhttp://36.104.137.111/yfhdl.cdn.zhanqi.tv/zqlive/19969_TnDT2.|
@mc=超清MV|@dz http://dlhls.cdn.zhanqi.tv/zqlive/19969_TnDT2.|
@mc=湖南影視01|@dzhttp://rotation.vod.zlive.cc/channel/1913.|
@mc=湖南影視02|@dzhttp://rotation.vod.zlive.cc/channel/2126.|
@mc=湖南綜藝01|@dzhttp://rotation.vod.zlive.cc/channel/1084.|
@mc=湖南綜藝02|@dzhttp://rotation.vod.zlive.cc/channel/1552.|
@mc=湖南綜藝03|@dzhttp://rotation.vod.zlive.cc/channel/1565.|
@mc=湖南綜藝04|@dzhttp://rotation.vod.zlive.cc/channel/1642.|
@mc=湖南綜藝05|@dzhttp://rotation.vod.zlive.cc/channel/1653.|
@mc=湖南綜藝06|@dzhttp://rotation.vod.zlive.cc/channel/1860.|
@mc=湖南綜藝07|@dzhttp://rotation.vod.zlive.cc/channel/1940.|
@mc=湖南綜藝08|@dzhttp://rotation.vod.zlive.cc/channel/2014.|
@mc=湖南綜藝09|@dzhttp://rotation.vod.zlive.cc/channel/2020.|
@mc=湖南綜藝10|@dzhttp://rotation.vod.zlive.cc/channel/2035.|
@mc=湖南綜藝11|@dzhttp://rotation.vod.zlive.cc/channel/2046.|
@mc=湖南綜藝12|@dzhttp://rotation.vod.zlive.cc/channel/1083.|
@mc=江蘇綜藝01|@dzhttp://rotation.vod.zlive.cc/channel/1647.|
@mc=金鹰卡通|@dzhttp://rotation.vod.zlive.cc/channel/1937.|
@mc=芒果TV獨播01|@dzhttp://rotation.vod.zlive.cc/channel/1242.|
@mc=芒果TV獨播02|@dzhttp://rotation.vod.zlive.cc/channel/1546.|
@mc=芒果TV獨播04|@dzhttp://rotation.vod.zlive.cc/channel/2041.|
@mc=芒果TV聯合獨播|@dzhttp://rotation.vod.zlive.cc/channel/2127.|
@mc=芒果TV首播01|@dzhttp://rotation.vod.zlive.cc/channel/1233.|
@mc=芒果TV首播02|@dzhttp://rotation.vod.zlive.cc/channel/2180.|
@mc=芒果TV首播03|@dzhttp://rotation.vod.zlive.cc/channel/2181.|
@mc=芒果TV自制01|@dzhttp://rotation.vod.zlive.cc/channel/1234.|
@mc=芒果TV自制02|@dzhttp://rotation.vod.zlive.cc/channel/1701.|
@mc=芒果TV自制03|@dzhttp://rotation.vod.zlive.cc/channel/1812.|
@mc=芒果TV自制04|@dzhttp://rotation.vod.zlive.cc/channel/2118.|
@mc=熱播劇場01|@dzhttp://rotation.vod.zlive.cc/channel/1215.|
@mc=熱播劇場02|@dzhttp://rotation.vod.zlive.cc/channel/1221.|
@mc=熱播劇場03|@dzhttp://rotation.vod.zlive.cc/channel/1256.|
@mc=熱播劇場04|@dzhttp://rotation.vod.zlive.cc/channel/1569.|
@mc=熱播劇場05|@dzhttp://rotation.vod.zlive.cc/channel/1715.|
@mc=熱播劇場06|@dzhttp://rotation.vod.zlive.cc/channel/1741.|
@mc=熱播劇場07|@dzhttp://rotation.vod.zlive.cc/channel/1838.|
@mc=熱播劇場08|@dzhttp://rotation.vod.zlive.cc/channel/2023.|
@mc=熱播劇場09|@dzhttp://rotation.vod.zlive.cc/channel/2063.|
@mc=熱播劇場10|@dzhttp://rotation.vod.zlive.cc/channel/2140.|
@mc=熱播劇場13|@dzhttp://rotation.vod.zlive.cc/channel/1190.|
@mc=卡通動漫01|@dzhttp://rotation.vod.zlive.cc/channel/1088.|
@mc=卡通動漫02|@dzhttp://rotation.vod.zlive.cc/channel/1089.|
@mc=卡通動漫03|@dzhttp://rotation.vod.zlive.cc/channel/1092.|
@mc=卡通動漫04|@dzhttp://rotation.vod.zlive.cc/channel/1093.|
@mc=卡通動漫05|@dzhttp://rotation.vod.zlive.cc/channel/1184.|
@mc=卡通動漫06|@dzhttp://rotation.vod.zlive.cc/channel/1185.|
@mc=卡通動漫07|@dzhttp://rotation.vod.zlive.cc/channel/1216.|
@mc=卡通動漫08|@dzhttp://rotation.vod.zlive.cc/channel/1243.|
@mc=卡通動漫09|@dzhttp://rotation.vod.zlive.cc/channel/1262.|
@mc=卡通動漫10|@dzhttp://rotation.vod.zlive.cc/channel/1263.|
@mc=卡通動漫11|@dzhttp://rotation.vod.zlive.cc/channel/1266.|
@mc=卡通動漫12|@dzhttp://rotation.vod.zlive.cc/channel/1466.|
@mc=卡通動漫13|@dzhttp://rotation.vod.zlive.cc/channel/1524.|
@mc=卡通動漫14|@dzhttp://rotation.vod.zlive.cc/channel/1525.|
@mc=卡通動漫15|@dzhttp://rotation.vod.zlive.cc/channel/1526.|
@mc=卡通動漫16|@dzhttp://rotation.vod.zlive.cc/channel/1617.|
@mc=卡通動漫17|@dzhttp://rotation.vod.zlive.cc/channel/1821.|
@mc=卡通動漫18|@dzhttp://rotation.vod.zlive.cc/channel/1880.|
@mc=卡通動漫19|@dzhttp://rotation.vod.zlive.cc/channel/1901.|
@mc=卡通動漫20|@dzhttp://rotation.vod.zlive.cc/channel/1910.|
@mc=卡通動漫21|@dzhttp://rotation.vod.zlive.cc/channel/1911.|
@mc=卡通動漫22|@dzhttp://rotation.vod.zlive.cc/channel/1938.|
@mc=卡通動漫23|@dzhttp://rotation.vod.zlive.cc/channel/1993.|
@mc=卡通動漫24|@dzhttp://rotation.vod.zlive.cc/channel/1995.|
@mc=卡通動漫25|@dzhttp://rotation.vod.zlive.cc/channel/2148.|
@mc=卡通動漫26|@dzhttp://rotation.vod.zlive.cc/channel/2158.|
@mc=卡通動漫27|@dzhttp://rotation.vod.zlive.cc/channel/2159.|
@mc=卡通動漫28|@dzhttp://rotation.vod.zlive.cc/channel/2174.|
@mc=卡通動漫29|@dzhttp://rotation.vod.zlive.cc/channel/2175.|
@mc=卡通動漫30|@dzhttp://rotation.vod.zlive.cc/channel/1820.|
@mc=美食廚藝01|@dzhttp://rotation.vod.zlive.cc/channel/1426.|
@mc=美食廚藝02|@dzhttp://rotation.vod.zlive.cc/channel/1428.|
@mc=美食廚藝03|@dzhttp://rotation.vod.zlive.cc/channel/1661.|
@mc=美食廚藝04|@dzhttp://rotation.vod.zlive.cc/channel/2008.|
@mc=新氧整形|@dzhttp://rotation.vod.zlive.cc/channel/2125.|
@mc=凤凰中文HD|@dzhttp://183.251.61.207/PLTV/88888888/224/3221225900/index.|
@mc=凤凰中文HD|@dzhttp://183.207.248.71/PLTV/3/224/3221226977/index.|
@mc=凤凰中文HD|@dzhttp://223.110.245.139:80/PLTV/3/224/3221226977/index.|
@mc=凤凰中文HD|@dzhttp://111.13.42.8/PLTV/88888888/224/3221225948/index.|
@mc=凤凰中文HD|@dzhttp://live.alicdn.com/live/cjzb_fhwshd.|
@mc=凤凰中文HD|@dzhttp://111.13.42.8/PLTV/88888888/224/3221225948/index.|
@mc=凤凰中文HD|@dzhttp://223.110.245.139:80/PLTV/3/224/3221226977/index.|
@mc=凤凰资讯HD|@dz http://223.110.245.139:80/PLTV/3/224/3221226980/index.|
@mc=凤凰资讯HD|@dzhttp://183.251.61.207/PLTV/88888888/224/3221225901/index.|
@mc=凤凰资讯HD|@dzhttp://183.207.248.71/PLTV/3/224/3221226980/index.|
@mc=凤凰资讯HD|@dzhttp://183.207.248.71/PLTV/3/224/3221226923/index.|
@mc=凤凰资讯HD|@dzhttp://183.251.61.221/PLTV/88888888/224/3221225901/index.|
@mc=凤凰资讯HD|@dzhttp://218.207.213.143//PLTV/88888888/224/3221225901/index.|
@mc=凤凰资讯HD|@dzhttp://183.252.176.10/PLTV/88888888/224/3221225901/index.|
@mc=凤凰资讯HD|@dzvjms://50.7.101.212:8500:3502/live/cid=401
@mc=凤凰资讯HD|@dzhttp://live.alicdn.com/live/cjzb_fhzxhd.|
@mc=翡翠J2|@dzhttp://hls.wyjxb.top/j2.|
@mc=翡翠台|@dzhttp://acm.gg/j.|
@mc=明珠|@dzhttp://acm.gg/pearl.|
@mc=HKTV|@dzhttp://14.198.245.135:8080/enc2/02.|?t=12e9a7f66f3a892b396e94d81206eb6c&udid=f4128ed9dbf7996480dc22165bf32082&uid=1&vid=1&mxres=1312&s=f9f8f18f10b7a342b9c0c3a073f7b90c&cname=index2
@mc=HKTV|@dzhttp://14.198.245.135:8080/enc2/04.|?t=12e9a7f66f3a892b396e94d81206eb6c&udid=6e6cec98-e05f-4278-9b9e-599e018c5d60&uid=1&vid=1&mxres=1920&s=cd23d2158a4117da321aff9eca29cd68&cname=index2
@mc=HKTV|@dzhttp://14.198.245.166:8080/enc2/04.|?t=12e9a7f66f3a892b396e94d81206eb6c&udid=a42bc0b5ac8dc21cb14f66924a25f468&uid=1&vid=1&mxres=1920&s=35556a8d92fa04b373ca45fa5f35c36a&cname=index2
@mc=香港RTHK-31|@dzhttp://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-b.|
@mc=亚太第一|@dzhttp://v1.one-tv.com:1935/live/mpegts.stream/playlist.|
@mc=亚太第一|@dzrtmp://v1.one-tv.com:1935/live/mpegts.stream
@mc=香港卫视|@dzrtmp://live.hkstv.hk.lxdns.com/live//hks
@mc=香港卫视|@dzrtmp://live.hkstv.hk.lxdns.com/live/hks
@mc=香港卫视|@dzhttp://fms.cntv.lxdns.com/live/flv/channel84.flv#http://live.hkstv.hk.lxdns.com/live/hks/playlist.|#rtmp://live.hkstv.hk.lxdns.com/live//hks
@mc=香港卫视|@dzhttp://live.hkstv.hk.lxdns.com/live/hks/playlist.|#http://live.hkstv.hk.lxdns.com/live/hks/playlist.|
@mc=香港卫视 |@dzhttp://fms.cntv.lxdns.com/live/flv/channel84.flv
@mc=香港卫视|@dzhttp://live.hkstv.hk.lxdns.com/live/hks/playlist.|
@mc=香港卫视|@dzrtmp://live.hkstv.hk.lxdns.com:1935/live/hks
@mc=英国Sky NEWS|@dzhttp://skydvn-nowtv-atv-prod.skydvn.com/atv/skynews/1404/live/04.|香港HKS|@dzhttp://live.hkstv.hk.lxdns.com/live/hks/playlist.|
@mc=新視覺HD1080|@dzhttp://222.37.8.77:13164/playurl?playtype=live&protocol=http&accesstoken=G214BC3E7V11307D1TC05A0AJBD5302ABM7867DF14I9F9DD772&&playtoken=ABCDEFGH&programid=4200000150
@mc=香港衛視4|@dzhttp://web-play.pptv.com/web-|-300366.|
@mc=鳳凰衛視美洲|@dzhttp://live.italkdd.com/ts027/channel_056.|
@mc=澳視高清|@dzhttp://live3.tdm.com.mo:1935/ch6/hd_ch6.live/media_w2145388172.|
@mc=澳視体育|@dzhttp://live3.tdm.com.mo/ch4/sport_ch4.live/playlist.|
@mc=澳視衛星|@dzhttp://live3.tdm.com.mo:1935/ch5/info_ch5.live/media_w1761605729.|

@mc=澳視衛星|@dzhttp://live4.tdm.com.mo:80/ch5/_definst_/info_ch5.live/playlist.|
@mc=澳視衛星|@dzhttp://live3.tdm.com.mo:1935/ch3/ch3.live/media_w30461384.|
@mc=澳視衛星|@dzhttp://live3.tdm.com.mo:1935/ch3/ch3.live/chunklist_w935270855.|
@mc=壹电视新聞|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/chunklist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv1/chunklist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv2/chunklist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/chunklist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist.|
@mc=壹电视新闻|@dzhttp://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist_w.|TVBS新聞HD|@dzhttp://60.199.188.65/HLS/WG_TVBS-N/index.|
@mc=東森新聞HD|@dzhttp://60.199.188.65/HLS/WG_ETTV-N/index.|
@mc=TVBS新闻HD|@dzhttps://bcsecurelivehls-i.akamaihd.net/hls/live/508637/4862438529001/masterTVBS-N-HD-CH2-M.|
@mc=TVBS新闻HD|@dzhttp://edge01p.friday.tw/live/fet005/chunklist.m3u
@mc=民视新闻台|@dzhttps://6.mms.vlog.xuite.net/hls/ftvtv/index.| 
@mc=民视新闻台|@dzhttp://edge01p.friday.tw/live/fet002/chunklist.m3u
@mc=TVB娱乐新闻台|@dzhttp://token.tvb.com/stream/live/enews/hls/mobilehd_enews.smil
@mc=中天新闻HD|@dzhttp://edge01p.friday.tw/live/fet006/chunklist.m3u
@mc=东森亚洲新闻|@dzhttps://58ada6ee80845.streamlock.net/ios/-eNtasinEws---0832/playlist.|
@mc=东森亚洲卫视|@dzhttps://58ad68d0b6c8d.streamlock.net/ios/-enttv---0832/playlist.|CHC動作電影|@dzrtmp://58.200.131.2:1935/livetv/chcatv
@mc=新-8频道|@dzhttp://tglch8h-i.akamaihd.net/hls/live/566549/ctv/02.|
@mc=新-U频道|@dzhttp://tglchuh-i.akamaihd.net/hls/live/566554/ctv/02.|
@mc=新-新传媒|@dzhttp://tglsuriah-i.akamaihd.net/hls/live/566540/ctv/02.|
@mc=新-亞洲新聞|@dzhttp://tglcnash-i.akamaihd.net/hls/live/566558/ctv/02.|
@mc=新-OKTO|@dzhttp://tgloktoh-i.akamaihd.net/hls/live/566482/ctv/02.|
@mc=美國中文生活|@dzhttp://media3.sinovision.net:1935/live/livestream/playlist.|
@mc=韩中文|@dzhttp://123.108.164.112/etv1/phd1016/playlist.|
@mc=韩國中央|@dzhttp://122.202.129.136:1935/live/ch5/playlist.|
@mc=韩EBS2|@dzhttp://ebsonair.ebs.co.kr:1935/ebs2familypc/familypc1m/chunklist_w388952794.|
@mc=@mc=超清MV|@dz http://42.202.153.91/yfhdl.cdn.zhanqi.tv/zqlive/19969_TnDT2.|
@mc=超清MV |@dzhttp://36.104.137.111/yfhdl.cdn.zhanqi.tv/zqlive/19969_TnDT2.|
@mc=超清MV|@dz http://dlhls.cdn.zhanqi.tv/zqlive/19969_TnDT2.|
@mc=超清MV|@dz http://dlhls.cdn.zhanqi.tv/zqlive/19969_TnDT2.m3u8|}
